Base Set,,,
,,,
200 cards,,,
Parallels,,,
,,,
Purple Foil /299,,,
Fuchsia Foil /199,,,
Sparkle Foil /175,,,
Blue Foil /150,,,
Green Foil /99,,,
Aqua Foil /75,,,
Gold Foil /50,,,
Orange Foil /25,,,
Red Foil /10,,,
FoilFractor /1,,,
,,,
PDC-21,Aaron Parker,Dunedin Blue Jays,
PDC-22,Braylon Doughty,ACL Guardians,
PDC-24,Jeral Perez,Kannapolis Cannon Ballers,
PDC-25,Braylon Payne,Carolina Mudcats,
PDC-26,Yoffry Solano,FCL Marlins,
PDC-27,Jared Thomas,Fresno Grizzlies,
PDC-29,Fenwick Trimble,Jupiter Hammerheads,
PDC-32,Konnor Griffin,FCL Pirates,
PDC-34,Levi Sterling,FCL Pirates,
PDC-35,Joshua Kuroda-Grauer,Las Vegas Aviators,
PDC-36,Alexander Albertus,Kannapolis Cannon Ballers,
PDC-38,Bryce Meccage,ACL Brewers,
PDC-39,Jesus Made,Carolina Mudcats,
PDC-40,Griffin Burkholder,Clearwater Threshers,
PDC-41,George Lombard Jr.,Hudson Valley Renegades,
PDC-42,Boston Bateman,ACL Padres,
PDC-43,Cole Mathis,ACL Cubs,
PDC-45,Trey Yesavage,FCL Blue Jays,
PDC-46,Kelvin Hidalgo,Fresno Grizzlies,
PDC-48,Ryan Sloan,ACL Mariners,
PDC-49,Luis Almeyda,FCL Orioles,
PDC-50,Chase Dollander,Hartford Yard Goats,
PDC-51,Yolfran Castillo,ACL Rangers,
PDC-53,Khadim Diaw,Fort Myers Mighty Mussels,
PDC-55,Carson Benge,St. Lucie Mets,
PDC-57,Colin Houck,St. Lucie Mets,
PDC-58,Juan Flores,Tri-City Dust Devils,
PDC-59,Dante Nori,Clearwater Threshers,
PDC-60,Ivan Luciano,ACL Diamondbacks,
PDC-61,Jose Fernandez,Hillsboro Hops,
PDC-64,Charlie Condon,Spokane Indians,
PDC-66,Victor Rodrigues,Rancho Cucamonga Quakes,
PDC-67,Brice Matthews,Sugar Land Space Cowboys,
PDC-68,Ethan Anderson,Aberdeen IronBirds,
PDC-69,Luke Adams,Wisconsin Timber Rattlers,
PDC-71,John Spikerman,Clearwater Threshers,
PDC-73,Ramon Ramirez,ACL Royals,
PDC-74,Hagen Smith,Winston-Salem Dash,
PDC-75,Cobb Hightower,ACL Padres,
